"Gene","Tissue_Count","Best_QValue","Best_Empirical_PValue","Best_PValue","Mean_Abs_Log2_AFC","Example_Tissues","Gencode_ID","Phenotype","Selected_Tissues"
"PRKXP1",6,1.99751e-129,2.73647e-131,9.87877e-147,2.50073916666667,"Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000259205.2","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"RP11-104N10.2",6,2.43761e-129,3.38166e-131,2.17738e-150,1.13502233333333,"Liver;Lung;Ovary;Pancreas;Stomach;Thyroid","ENSG00000274627.1","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"LLPH-AS1",6,3.80916e-129,5.35044e-131,1.22536e-142,4.15232866666667,"Liver;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000239335.4","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"CCDC82",6,2.45066e-125,3.90972e-127,1.25456e-140,0.827825333333333,"Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000149231.11","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"XKR9",6,1.54139e-122,2.61947e-124,4.54226e-135,3.6693015,"Liver;Lung;Ovary;Pancreas;Prostate;Thyroid","ENSG00000221947.7","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"ARL16",6,1.08846e-121,1.86862e-123,3.80161e-136,1.406793,"Liver;Lung;Pancreas;Prostate;Stomach;Thyroid","ENSG00000214087.8","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"CYP4F24P",6,2.96369e-121,5.24213e-123,2.14104e-136,5.74825183333333,"Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000267594.5","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"HLA-DQB1",6,6.52971e-121,1.16629e-122,2.62115e-144,1.91727016666667,"Liver;Lung;Pancreas;Prostate;Stomach;Thyroid","ENSG00000179344.16","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"MOSPD2",6,5.31944e-120,1.01323e-121,6.48403e-139,0.736755833333333,"Liver;Lung;Pancreas;Prostate;Stomach;Thyroid","ENSG00000130150.11","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"KANSL1-AS1",6,5.31944e-120,1.01469e-121,1.90719e-136,2.4667625,"Liver;Lung;Ovary;Prostate;Stomach;Thyroid","ENSG00000214401.4","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"KLHL7-AS1",6,3.71552e-118,7.66729e-120,2.04746e-135,2.6610485,"Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000230658.1","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"FN3KRP",6,4.07131e-118,8.47208e-120,4.40511e-135,0.543462,"Liver;Lung;Ovary;Pancreas;Stomach;Thyroid","ENSG00000141560.14","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"CICP14",6,6.96358e-116,1.49737e-117,6.44739e-131,0.928157333333333,"Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000281490.1","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"SMDT1",6,1.53833e-115,3.38789e-117,4.78276e-135,0.761719,"Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000183172.8","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"TOP3BP1",6,1.74767e-115,3.87923e-117,8.8231e-128,3.65403433333333,"Liver;Lung;Ovary;Prostate;Stomach;Thyroid","ENSG00000228050.1","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
