"Gene","Entrez_ID","PMID_Count","Supporting_PMIDs","Phenotype","Source"
"CLVS2","134829",1,"40728933","migraine","PubMed+PubTator3"
"CNTNAP1","8506",1,"37415806","migraine","PubMed+PubTator3"
"COL4A2","1284",1,"28185542","migraine","PubMed+PubTator3"
"COL4A3BP","10087",1,"34635557","migraine","PubMed+PubTator3"
"COLEC11","78989",1,"41288865","migraine","PubMed+PubTator3"
"CORIN","10699",1,"40350427","migraine","PubMed+PubTator3"
"Corticosteroid-binding globulin","866",1,"22013108","migraine","PubMed+PubTator3"
"cox-2","4513",1,"15546262","migraine","PubMed+PubTator3"
"COX1","4512",1,"35903646","migraine","PubMed+PubTator3"
"COX2","4513",1,"35903646","migraine","PubMed+PubTator3"
"COX3","4514",1,"35903646","migraine","PubMed+PubTator3"
"CPS1","1373",1,"34294844","migraine","PubMed+PubTator3"
"CREB","81646",1,"18976638","migraine","PubMed+PubTator3"
"CRHR1","1394",1,"29397368","migraine","PubMed+PubTator3"
"CRP","1401",1,"40337101","migraine","PubMed+PubTator3"
"CSF1","78965",1,"40723814","migraine","PubMed+PubTator3"
"CSF1R","307403",1,"40723814","migraine","PubMed+PubTator3"
"CSK","1445",1,"36814110","migraine","PubMed+PubTator3"
"CXCL1","2919",1,"31214186","migraine","PubMed+PubTator3"
"CXCL11","6373",1,"39279254","migraine","PubMed+PubTator3"
"cyclin D1","58919",1,"27706811","migraine","PubMed+PubTator3"
"cyclin-dependent kinase 8","1024",1,"37662610","migraine","PubMed+PubTator3"
"cyclooxygenase-2","5743",1,"32997693","migraine","PubMed+PubTator3"
"Cyclooxygenase-2","5743",1,"32997693","migraine","PubMed+PubTator3"
"CYP","4051",1,"28089731","migraine","PubMed+PubTator3"
"CYP1A1","1543",1,"28089731","migraine","PubMed+PubTator3"
"CYP26B1","56603",1,"40350427","migraine","PubMed+PubTator3"
"CYP2C19","1557",1,"27288795","migraine","PubMed+PubTator3"
"CYP7B1","9420",1,"40791713","migraine","PubMed+PubTator3"
"CYR61","3491",1,"39355906","migraine","PubMed+PubTator3"
"CYTB","4519",1,"35903646","migraine","PubMed+PubTator3"
"Cytochrome P450","4051",1,"28089731","migraine","PubMed+PubTator3"
"Cytochrome P450 2D6","1565",1,"10759887","migraine","PubMed+PubTator3"
"DDIT4","54541",1,"38867170","migraine","PubMed+PubTator3"
"DEAD-Box helicase 1","1653",1,"38951977","migraine","PubMed+PubTator3"
"DKK1","22943",1,"35546551","migraine","PubMed+PubTator3"
"DLG2","1740",1,"31842742","migraine","PubMed+PubTator3"
"dopamine D2 receptor","1813",1,"9513185","migraine","PubMed+PubTator3"
"dopamine transporter","6531",1,"17690944","migraine","PubMed+PubTator3"
"dopamine-beta hydroxylase","1621",1,"19152006","migraine","PubMed+PubTator3"
"DPH1","1801",1,"41345547","migraine","PubMed+PubTator3"
"DRD(2)","1813",1,"17563839","migraine","PubMed+PubTator3"
"DRD1","1812",1,"19772578","migraine","PubMed+PubTator3"
"DRD4","1815",1,"9748026","migraine","PubMed+PubTator3"
"DRD5","1816",1,"19772578","migraine","PubMed+PubTator3"
"dual specificity phosphatase 9","1852",1,"38951977","migraine","PubMed+PubTator3"
"DUX4","100288687",1,"41420111","migraine","PubMed+PubTator3"
"E2F4","1874",1,"33767277","migraine","PubMed+PubTator3"
"EAAT1","6507",1,"38927733","migraine","PubMed+PubTator3"
"EDA2R","60401",1,"26814133","migraine","PubMed+PubTator3"
"EDN","1906",1,"19661472","migraine","PubMed+PubTator3"
"EDN1","1906",1,"28753427","migraine","PubMed+PubTator3"
"EDNRB","1910",1,"19661472","migraine","PubMed+PubTator3"
"EFHC1","114327",1,"16378686","migraine","PubMed+PubTator3"
"EHMT2","10919",1,"36292730","migraine","PubMed+PubTator3"
"EMR1","2015",1,"26814133","migraine","PubMed+PubTator3"
"Endothelial nitric oxide synthase","4846",1,"17115991","migraine","PubMed+PubTator3"
"endothelial NO synthase","4846",1,"22865486","migraine","PubMed+PubTator3"
"endothelin 1","1906",1,"28753427","migraine","PubMed+PubTator3"
