"Gene","UniProt_ID","Protein_Name","Source","Query_Type"
"CCDC112","Q8NEF3","Coiled-coil domain-containing protein 112","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CCDC33","Q8N5R6","Coiled-coil domain-containing protein 33","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CCDC34","Q96HJ3","Coiled-coil domain-containing protein 34","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CCDC36","Q8IYA8","Interactor of HORMAD1 protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CCDC41","Q9Y592","Centrosomal protein of 83 kDa","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CCDC47","Q96A33","PAT complex subunit CCDC47","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CCDC98","Q6UWZ7","BRCA1-A complex subunit Abraxas 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CCKBR","P32239","Gastrin/cholecystokinin type B receptor","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CCKRB","P32239","Gastrin/cholecystokinin type B receptor","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CCP110","O43303","Centriolar coiled-coil protein of 110 kDa","UniProt","(ft_mutagen:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CCP22","Q4LDE5","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CCT8","P50990","T-complex protein 1 subunit theta","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CCTQ","P50990","T-complex protein 1 subunit theta","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CD135","P36888","Receptor-type tyrosine-protein kinase FLT3","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CD26","P27487","Dipeptidyl peptidase 4","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CDC21","P33991","DNA replication licensing factor MCM4","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CDC73","Q6P1J9","Parafibromin","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CDH1","P12830","Cadherin-1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CDHE","P12830","Cadherin-1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CDHF1","Q08554","Desmocollin-1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CDHF12","P07949","Proto-oncogene tyrosine-protein kinase receptor Ret","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CDHR16","P07949","Proto-oncogene tyrosine-protein kinase receptor Ret","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CDI1","Q16667","Cyclin-dependent kinase inhibitor 3","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CDK12","Q9NYV4","Cyclin-dependent kinase 12","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CDK2AP1","O14519","Cyclin-dependent kinase 2-associated protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CDKAP1","O14519","Cyclin-dependent kinase 2-associated protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CDKN1B","P46527","Cyclin-dependent kinase inhibitor 1B","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CDKN2","P42771","Cyclin-dependent kinase inhibitor 2A","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CDKN2A","P42771","Cyclin-dependent kinase inhibitor 2A","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CDKN2C","P42773","Cyclin-dependent kinase 4 inhibitor C","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CDKN3","Q16667","Cyclin-dependent kinase inhibitor 3","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CDKN6","P42773","Cyclin-dependent kinase 4 inhibitor C","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CDS1","O96017","Serine/threonine-protein kinase Chk2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CEBP","P49715","CCAAT/enhancer-binding protein alpha","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CEBPA","P49715","CCAAT/enhancer-binding protein alpha","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CEMIP","Q8WUJ3","Cell migration-inducing and hyaluronan-binding protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CENP-36","Q7Z3B3","KAT8 regulatory NSL complex subunit 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CENPW","Q5EE01","Centromere protein W","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CEP110","O43303","Centriolar coiled-coil protein of 110 kDa","UniProt","(ft_mutagen:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CEP290","O15078","Centrosomal protein of 290 kDa","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CEP55","Q53EZ4","Centrosomal protein of 55 kDa","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CEP83","Q9Y592","Centrosomal protein of 83 kDa","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CEP85L","Q5SZL2","Centrosomal protein of 85 kDa-like","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CHD1L","Q86WJ1","ATP-dependent chromatin remodeler CHD1L","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CHEK2","O96017","Serine/threonine-protein kinase Chk2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CHK2","O96017","Serine/threonine-protein kinase Chk2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CHRNA3","P32297","Neuronal acetylcholine receptor subunit alpha-3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CHRNA5","P30532","Neuronal acetylcholine receptor subunit alpha-5","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CHRNA7","P36544","Neuronal acetylcholine receptor subunit alpha-7","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CILK1","Q9UPZ9","Serine/threonine-protein kinase ICK","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CIP2","Q16667","Cyclin-dependent kinase inhibitor 3","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CKN1","Q13216","DNA excision repair protein ERCC-8","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CLCI","P54105","Methylosome subunit pICln","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CLNS1A","P54105","Methylosome subunit pICln","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CLS1","Q9UJA2","Cardiolipin synthase (CMP-forming)","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"COB","P00156","Cytochrome b","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"COCA2","P40692","DNA mismatch repair protein Mlh1","UniProt","(keyword:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"COI","P00395","Cytochrome c oxidase subunit 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"COII","P00403","Cytochrome c oxidase subunit 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"COL4A3BPIP","Q4L180","Filamin A-interacting protein 1-like","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"COLCA2","A8K830","POU class 2 homeobox associating factor 3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"COLEC4","Q8IWL2","Pulmonary surfactant-associated protein A1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"COLEC5","Q8IWL1","Pulmonary surfactant-associated protein A2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"COM1","O60356","Nuclear protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"COPEB","Q99612","Krueppel-like factor 6","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"COQ6","Q9Y2Z9","Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"COT","P41279","Mitogen-activated protein kinase kinase kinase 8","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"COX1","P23219","Prostaglandin G/H synthase 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"COX2","P35354","Prostaglandin G/H synthase 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"COXI","P00395","Cytochrome c oxidase subunit 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"COXII","P00403","Cytochrome c oxidase subunit 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CP110","O43303","Centriolar coiled-coil protein of 110 kDa","UniProt","(ft_mutagen:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CPBP","Q99612","Krueppel-like factor 6","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"cPERP-F","Q96GQ7","Probable ATP-dependent RNA helicase DDX27","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CPR3","O60884","DnaJ homolog subfamily A member 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CRACD","Q6ZU35","Capping protein-inhibiting regulator of actin dynamics","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CRAD","Q6ZU35","Capping protein-inhibiting regulator of actin dynamics","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CRK7","Q9NYV4","Cyclin-dependent kinase 12","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CRKAS","P56945","Breast cancer anti-estrogen resistance protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CRKRS","Q9NYV4","Cyclin-dependent kinase 12","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CRLS1","Q9UJA2","Cardiolipin synthase (CMP-forming)","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CRNN","Q9UBG3","Cornulin","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CRYA2","P02511","Alpha-crystallin B chain","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CRYAB","P02511","Alpha-crystallin B chain","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CSA","Q13216","DNA excision repair protein ERCC-8","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CSAG1","Q6PB30","Chondrosarcoma-associated gene 1 protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CSAGE","Q6PB30","Chondrosarcoma-associated gene 1 protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CSB","Q03468","DNA excision repair protein ERCC-6","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CSF1","P09603","Macrophage colony-stimulating factor 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CSF1R","P07333","Macrophage colony-stimulating factor 1 receptor","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CT20","Q9UI38","Probable threonine protease PRSS50","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CT45-1","Q5HYN5","Cancer/testis antigen family 45 member A1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CT45A1","Q5HYN5","Cancer/testis antigen family 45 member A1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CT55","Q8WUE5","Cancer/testis antigen 55","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CTAG","P78358","Cancer/testis antigen 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CTAG1","P78358","Cancer/testis antigen 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CTAG1A","P78358","Cancer/testis antigen 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CTAG1B","P78358","Cancer/testis antigen 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CTAG2","O75638","Cancer/testis antigen 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CTAG3","Q8TC20","Cancer-associated gene 1 protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CTAGE5","Q96PC5","Melanoma inhibitory activity protein 2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CTCFL","Q8NI51","Transcriptional repressor CTCFL","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CTEN","Q8IZW8","Tensin-4","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CTIP","Q99708","DNA endonuclease RBBP8","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CTNNA1","P35221","Catenin alpha-1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CTNNAL1","Q9UBT7","Alpha-catulin","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CTNNB","P35222","Catenin beta-1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CTNNB1","P35222","Catenin beta-1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CTPS","P17812","CTP synthase 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CTPS1","P17812","CTP synthase 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CTU1","Q7Z7A3","Cytoplasmic tRNA 2-thiolation protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CUEDC2","Q9H467","CUE domain-containing protein 2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CUG2","Q5EE01","Centromere protein W","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CWC27","Q6UX04","Spliceosome-associated protein CWC27 homolog","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CXorf48","Q8WUE5","Cancer/testis antigen 55","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CYP1B1","Q16678","Cytochrome P450 1B1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CYTB","P00156","Cytochrome b","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CYTSA","Q69YQ0","Cytospin-A","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"D11S2243E","P05387","Large ribosomal subunit protein P2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"D22S11","P11274","Breakpoint cluster region protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"DAB2IP","Q5VWQ8","Disabled homolog 2-interacting protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"DAN","O95453","Poly(A)-specific ribonuclease PARN","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"DBC1","Q8N163","Cell cycle and apoptosis regulator protein 2","UniProt","(ft_mutagen:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"DBC2","Q9BYZ6","Rho-related BTB domain-containing protein 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"DBCCR1","O60477","BMP/retinoic acid-inducible neural-specific protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"DBI1","Q9UL03","Integrator complex subunit 6","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"DC3","Q6ZPD8","Diacylglycerol O-acyltransferase 2-like protein 6","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"DCAF12","Q5T6F0","DDB1- and CUL4-associated factor 12","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"DCC","P43146","Netrin receptor DCC","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"DDEFL1","Q8TDY4","Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"DDX26","Q9UL03","Integrator complex subunit 6","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"DDX26A","Q9UL03","Integrator complex subunit 6","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"DDX27","Q96GQ7","Probable ATP-dependent RNA helicase DDX27","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"DDX41","Q9UJV9","Probable ATP-dependent RNA helicase DDX41","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"DDX43","Q9NXZ2","Probable ATP-dependent RNA helicase DDX43","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"DDX53","Q86TM3","Probable ATP-dependent RNA helicase DDX53","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"DEF3","P78332","RNA-binding protein 6","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"DEPC1","Q96Q83","Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"DESRT","Q14865","AT-rich interactive domain-containing protein 5B","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"DFNA5","O60443","Gasdermin-E","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"DGAT2L6","Q6ZPD8","Diacylglycerol O-acyltransferase 2-like protein 6","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"DHTR","P10275","Androgen receptor","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"DICER","Q9UPY3","Endoribonuclease Dicer","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"DICER1","Q9UPY3","Endoribonuclease Dicer","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"DIFF6","Q8WYJ6","Septin-1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"DIR","P30518","Vasopressin V2 receptor","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"DIR3","P30518","Vasopressin V2 receptor","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"DIRC2","Q96SL1","Solute carrier family 49 member 4","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"DLC1","Q9Y238","Deleted in lung and esophageal cancer protein 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"DLC2","Q9Y3M8","StAR-related lipid transfer protein 13","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
