"Gene"
"FLNA; filamin A [KO:K04437]"
"FLT1; fms related receptor tyrosine kinase 1 [KO:K05096] [EC:2.7.10.1]"
"FLT3; fms related receptor tyrosine kinase 3 [KO:K05092] [EC:2.7.10.1]"
"FLT3LG; fms related receptor tyrosine kinase 3 ligand [KO:K05454]"
"FLT4; fms related receptor tyrosine kinase 4 [KO:K05097] [EC:2.7.10.1]"
"FN1; fibronectin 1 [KO:K05717]"
"FOLH1; folate hydrolase 1 [KO:K14592] [EC:3.4.17.21]"
"FOLR1; folate receptor alpha [KO:K13649]"
"FOLR2; folate receptor beta [KO:K13649]"
"FOLR3; folate receptor gamma [KO:K13649]"
"FOS; Fos proto-oncogene"
"FOXO1; forkhead box O1 [KO:K07201]"
"FOXO3; forkhead box O3 [KO:K09408]"
"FOXP1; forkhead box protein P1 isoform a [KO:K23582]"
"FRAT1; FRAT regulator of WNT signaling pathway 1 [KO:K03069]"
"FRAT2; FRAT regulator of WNT signaling pathway 2 [KO:K03096]"
"FRS2; fibroblast growth factor receptor substrate 2 [KO:K12461]"
"FSCN1; fascin [KO:K23551]"
"FUS; FUS RNA binding protein [KO:K13098]"
"FUT8; fucosyltransferase 8 [KO:K00717] [EC:2.4.1.68]"
"FZD1; frizzled class receptor 1 [KO:K02432]"
"FZD10; frizzled class receptor 10 [KO:K02842]"
"FZD2; frizzled class receptor 2 [KO:K02235]"
"FZD3; frizzled class receptor 3 [KO:K02329]"
"FZD3; frizzled-3 isoform 1 precursor [KO:K02329]"
"FZD4; frizzled class receptor 4 [KO:K02354]"
"FZD5; frizzled class receptor 5 [KO:K02375]"
"FZD6; frizzled class receptor 6 [KO:K02376]"
"FZD7; frizzled class receptor 7 [KO:K02432]"
"FZD8; frizzled class receptor 8 [KO:K02375]"
"FZD9; frizzled class receptor 9 [KO:K02842]"
"G6PD; glucose-6-phosphate dehydrogenase [KO:K00036] [EC:1.1.1.49 1.1.1.363]"
"GAB1; GRB2 associated binding protein 1 [KO:K09593]"
"GADD45A; growth arrest and DNA damage inducible alpha [KO:K04402]"
"GADD45B; growth arrest and DNA damage inducible beta [KO:K04402]"
