"Gene","TargetID","GeneName","Score"
"NDUFA10","ENSG00000130414","NADH:ubiquinone oxidoreductase subunit A10",0.258705898279291
"NDUFAB1","ENSG00000004779","NADH:ubiquinone oxidoreductase subunit AB1",0.258705898279291
"NDUFV2","ENSG00000178127","NADH:ubiquinone oxidoreductase core subunit V2",0.258705898279291
"NDUFA9","ENSG00000139180","NADH:ubiquinone oxidoreductase subunit A9",0.258705898279291
"NDUFA7","ENSG00000267855","NADH:ubiquinone oxidoreductase subunit A7",0.258705898279291
"NDUFA13","ENSG00000186010","NADH:ubiquinone oxidoreductase subunit A13",0.258705898279291
"NDUFB11","ENSG00000147123","NADH:ubiquinone oxidoreductase subunit B11",0.258705898279291
"NDUFS4","ENSG00000164258","NADH:ubiquinone oxidoreductase subunit S4",0.258705898279291
"NDUFS5","ENSG00000168653","NADH:ubiquinone oxidoreductase subunit S5",0.258705898279291
"NDUFA8","ENSG00000119421","NADH:ubiquinone oxidoreductase subunit A8",0.258705898279291
"GPD2","ENSG00000115159","glycerol-3-phosphate dehydrogenase 2",0.258705898279291
"NDUFB1","ENSG00000183648","NADH:ubiquinone oxidoreductase subunit B1",0.258705898279291
"NDUFA3","ENSG00000170906","NADH:ubiquinone oxidoreductase subunit A3",0.258705898279291
"NDUFV1","ENSG00000167792","NADH:ubiquinone oxidoreductase core subunit V1",0.258705898279291
"NDUFAF3","ENSG00000178057","NADH:ubiquinone oxidoreductase complex assembly factor 3",0.258705898279291
"NDUFA12","ENSG00000184752","NADH:ubiquinone oxidoreductase subunit A12",0.258705898279291
"NDUFS1","ENSG00000023228","NADH:ubiquinone oxidoreductase core subunit S1",0.258705898279291
"MT-ND3","ENSG00000198840","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3",0.258705898279291
"COXFA4","ENSG00000189043","cytochrome c oxidase associated subunit FA4",0.258705898279291
"NDUFB5","ENSG00000136521","NADH:ubiquinone oxidoreductase subunit B5",0.258705898279291
"NDUFS6","ENSG00000145494","NADH:ubiquinone oxidoreductase subunit S6",0.258705898279291
"NDUFAF1","ENSG00000137806","NADH:ubiquinone oxidoreductase complex assembly factor 1",0.258705898279291
"MT-ND4L","ENSG00000212907","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L",0.258705898279291
"NDUFB10","ENSG00000140990","NADH:ubiquinone oxidoreductase subunit B10",0.258705898279291
"NDUFA11","ENSG00000174886","NADH:ubiquinone oxidoreductase subunit A11",0.258705898279291
"NDUFB7","ENSG00000099795","NADH:ubiquinone oxidoreductase subunit B7",0.258705898279291
"NDUFA2","ENSG00000131495","NADH:ubiquinone oxidoreductase subunit A2",0.258705898279291
"NDUFB9","ENSG00000147684","NADH:ubiquinone oxidoreductase subunit B9",0.258705898279291
"NDUFS7","ENSG00000115286","NADH:ubiquinone oxidoreductase core subunit S7",0.258705898279291
"NDUFB8","ENSG00000166136","NADH:ubiquinone oxidoreductase subunit B8",0.258705898279291
"NDUFB2","ENSG00000090266","NADH:ubiquinone oxidoreductase subunit B2",0.258705898279291
"NDUFB3","ENSG00000119013","NADH:ubiquinone oxidoreductase subunit B3",0.258705898279291
"NDUFB4","ENSG00000065518","NADH:ubiquinone oxidoreductase subunit B4",0.258705898279291
"NDUFC2","ENSG00000151366","NADH:ubiquinone oxidoreductase subunit C2",0.258705898279291
"NDUFB6","ENSG00000165264","NADH:ubiquinone oxidoreductase subunit B6",0.258705898279291
"NDUFA6","ENSG00000184983","NADH:ubiquinone oxidoreductase subunit A6",0.258705898279291
"NDUFA1","ENSG00000125356","NADH:ubiquinone oxidoreductase subunit A1",0.258705898279291
"SETD4","ENSG00000185917","SET domain containing 4",0.258649519738204
